,party,count
0,FRENTE PARA LA VICTORIA,51541
1,UNIÓN CÍVICA RADICAL,26131
2,,17866
3,PRO,13740
4,FRENTE DE TODOS,12610
5,UNIÓN PRO,7021
6,JUSTICIALISTA,4181
7,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,4139
8,COALICIÓN CÍVICA,4007
9,FRENTE CÍVICO POR SANTIAGO,3654
10,PARTIDO SOCIALISTA,2730
11,FRENTE RENOVADOR,2532
12,FRENTE PERONISTA,2479
13,PERONISMO FEDERAL,1750
14,GEN,1645
15,MOVIMIENTO POPULAR NEUQUINO,1453
16,CÓRDOBA FEDERAL,1385
17,COMPROMISO FEDERAL,1174
18,UNIDAD POPULAR,1127
19,FRENTE CÍVICO - CÓRDOBA,1107
20,FRENTE DE LA CONCORDIA MISIONERO,956
21,COALICIÓN CÍVICA - ARI - UNEN,870
22,COALICIÓN CÍVICA - ARI,780
23,LIBRES DEL SUR,741
24,FTE. DE IZQUIERDA Y DE LOS TRABAJADORES,730
25,PERONISMO PARA LA VICTORIA,701
26,FTE. CÍVICO Y SOCIAL DE CATAMARCA,678
27,PROPUESTA REPUBLICANA,627
28,TRABAJO Y DIGNIDAD,615
29,UNIDOS POR UNA NUEVA ARGENTINA,594
30,NUEVO ENCUENTRO,575
31,PTS - FRENTE DE IZQUIERDA,557
32,CONSENSO FEDERAL,545
33,EVOLUCIÓN RADICAL,536
34,PARTIDO JUSTICIALISTA LA PAMPA,532
35,FTE. RENOV. DE LA CONC. MISIONES - FPV-PJ,532
36,UNIDAD JUSTICIALISTA,504
37,DEMÓCRATA DE MENDOZA,468
38,RED POR ARGENTINA,460
39,FRENTE NUEVO ENCUENTRO,444
40,UNIÓN POR CÓRDOBA,436
41,SALTA SOMOS TODOS,422
42,FRENTE CÍVICO Y SOCIAL DE CATAMARCA,414
43,"CULTURA, EDUCACIÓN Y TRABAJO",403
44,PROYECTO SUR,390
45,JUSTICIALISTA POR TUCUMÁN,387
46,UNIÓN PERONISTA,373
47,JUNTOS POR ARGENTINA,350
48,MOVIMIENTO EVITA,348
49,PERONISTA,322
50,NUEVO ENCUENTRO POPULAR Y SOLIDARIO,320
51,MOVIMIENTO PROYECTO SUR,302
52,NO INTEGRA BLOQUE,290
53,MOVIMIENTO POPULAR FUEGUINO,279
54,B. DEL FRENTE DE LA CONCORDIA MISIONERO,276
55,U.DE.SO. SALTA,274
56,Unidad y Equidad Federal,264
57,ELIJO CATAMARCA,258
58,UNIÓN POR ENTRE RÍOS,248
59,MOVIMIENTO SOLIDARIO POPULAR,243
60,PROYECTO SUR - UNEN,243
61,CORRIENTE DE PENSAMIENTO FEDERAL,236
62,PARTIDO POR LA JUSTICIA SOCIAL,230
63,CONCERTACIÓN FORJA,228
64,PARTIDO BLOQUISTA DE SAN JUAN,226
65,FRENTE PROGRESISTA CÍVICO Y SOCIAL,211
66,SOLIDARIO SI,198
67,RENOVADOR DE SALTA,194
68,FRENTE PERONISTA FEDERAL,194
69,PARTIDO FEDERAL FUEGUINO,194
70,DEMÓCRATA PROGRESISTA,194
71,SI POR LA UNIDAD POPULAR,165
72,PERONISMO MAS AL SUR,154
73,FRENTE POR LA INCLUSIÓN SOCIAL,154
74,FE,154
75,CONSERVADOR POPULAR,146
76,SUMA + UNEN,144
77,UNIR,144
78,UNIÓN CELESTE Y BLANCO,144
79,DEMOCRACIA IGUALITARIA Y PARTICIPATIVA,139
80,Producción y Trabajo,134
81,UNIÓN POR SAN JUAN,130
82,UNIDAD PARA EL DESARROLLO SOCIAL Y LA,130
83,UNIÓN POR TODOS,130
84,SOMOS MENDOZA,129
85,TODOS JUNTOS POR SAN JUAN,129
86,NUEVO ESPACIO SANTAFESINO,129
87,PRIMERO ARGENTINA,129
88,SOMOS SAN JUAN,129
89,DE LA CONCERTACIÓN,128
90,Cambiemos,117
91,BG JUAN B. BUSTOS,116
92,Acción Federal,115
93,DEL BICENTENARIO,112
94,Juntos Somos Río Negro,112
95,PROTECTORA,109
96,Socialista,109
97,SOCIALISTA DEL MIJD,108
98,CHUBUT SOMOS TODOS,107
99,AVANZAR SAN LUIS,103
100,PRIMERO TUCUMÁN,99
101,PARTIDO DEMÓCRATA PROGRESISTA,99
102,COMPROMISO CON SAN JUAN,99
103,"LIBERTAD, VALORES Y CAMBIOS",97
104,NUCLEO UNIDAD PERONISTA,93
105,SOMOS,87
106,FTE. RENOV. DE LA CONCORDIA MISIONES -,85
107,0EL BICENTENARIO,82
108,SANTA FE EN MOVIMIENTO,75
109,SOCIAL CRISTIANO,72
110,FRENTE RENOVADOR DE LA CONCORDIA,67
111,IZQUIERDA SOCIALISTA - FRENTE DE IZQUIERDA,65
112,Izquierda Socialista - FIT,65
113,VALORES PARA MI PAÍS,64
114,PERONISMO JUJEÑO,64
115,LIBERAL DE CORRIENTES,64
116,DIÁLOGO POR BUENOS AIRES,64
117,CÓRDOBA TRABAJO Y PRODUCCIÓN,64
118,PARTIDO DE LA CONCERTACIÓN - FORJA,64
119,Cambiemos por San Luis,57
120,Frente Unidad Justicialista San Luis,57
121,MOVIMIENTO NACIONAL ALFONSINISTA,56
122,FRENTE NORTE,38
123,BLOQUE SOCIAL PATAGÓNICO,37
124,ALIANZA CAMBIEMOS,35
125,FRENTE RENOVADOR PERONISTA,34
126,LIBERTAD Y DEMOCRACIA,32
127,PERONISTA CÓRDOBA CIUDADANA,32
128,PROYECTO PROGRESISTA,27
129,Partido Propuesta Salteña,25
130,RENOVADOR SOCIAL CRISTIANO,24
131,PARTIDO INTRANSIGENTE DE MENDOZA,20
132,BLOQUE DE LOS TRABAJADORES,19
133,Encuentro Federal,16
134,ALIANZA COMPROMISO FEDERAL,15
135,Frente De Izquierda Y De Trabajadores - Unidad,12
136,Identidad Bonaerense,12
137,ALIANZA FRENTE PARA LA VICTORIA (PERONISMO PAMPEANO),10
138,ALIANZA FRENTE POPULAR RIOJANO,10
139,EL CHACHO,10
140,Juntos por el Cambio,9
141,La Libertad Avanza,8
142,Avanza Libertad,8
143,SER - Somos Energia Para Renovar,8
144,"BLOQUE UNIPERSONAL CULTURA, EDUCACIÓN Y",7
145,UNIDAD CIUDADANA,7
146,UNIÓN POR CHACO,5
147,FRENTE POPULAR SALTEÑO,5
148,FRENTE POPULAR,5
149,ALIANZA UNEN,5
150,ALIANZA FRENTE PARA LA VICTORIA RIOJANO,5
151,FRENTE AMPLIO PROGRESISTA,5
152,FRENTE CÍVICO Y SOCIAL,5
153,ALIANZA FRENTE PROGRESISTA,5
154,ALIANZA ENCUENTRO CORRIENTES,5
155,Republicanos Unidos,4
156,CREO,4
157,Ahora Patria,4
158,Partido Obrero – Frente De Izquierda Y De Trabajadores - Unidad,4
159,CHANI,3
160,--,2
161,BRIGADIER GENERAL JUAN BAUTISTA BUSTOS,2
